Park,Restaurant,Item,Price,Details,Ratings,Review_Count,Image_URL
Islands of Adventure,3 BROOMSTICKS,Souvenir Frozen Butterbeer™,,"a non-alcoholic sweet drink reminiscent of shortbread and butterscotch, served in a souvenir cup",,,
Islands of Adventure,3 BROOMSTICKS,Frozen Butterbeer™,$9.49 ,a non-alcoholic sweet drink reminiscent of shortbread and butterscotch,,,
Islands of Adventure,3 BROOMSTICKS,Hot Butterbeer™,$9.49 ,a non-alcoholic sweet drink reminiscent of shortbread and butterscotch,,,
Islands of Adventure,3 BROOMSTICKS,Pumpkin Fizz,$5.49 ,,,,
Islands of Adventure,3 BROOMSTICKS,Pumpkin Juice™,$5.49 ,,,,
Islands of Adventure,3 BROOMSTICKS,Gillywater,$6.00 ,,,,
Islands of Adventure,3 BROOMSTICKS,Sparkling Water,$5.05 ,,,,
Islands of Adventure,3 BROOMSTICKS,Lemonade,$4.79 ,,,,
Islands of Adventure,3 BROOMSTICKS,Cider (Non-Alcoholic),$4.79 ,apple or pear,,,
Islands of Adventure,3 BROOMSTICKS,Iced Tea,$4.79 ,"sweet, unsweetened, raspberry, lemonade mix",,,
Islands of Adventure,3 BROOMSTICKS,Spiced Apple Cider,$6.99 ,"apple cider, cinnamon, cloves, star anise, and nutmeg",,,
Islands of Adventure,3 BROOMSTICKS,Coffee,$4.79 ,,,,
Islands of Adventure,3 BROOMSTICKS,Hot Tea,$4.79 ,,,,
Islands of Adventure,3 BROOMSTICKS,Hot Cocoa,$4.79 ,,,,
Islands of Adventure,3 BROOMSTICKS,Milk,$2.79 ,choice of 2% or chocolate,,,
Islands of Adventure,3 BROOMSTICKS,Juice,$3.49 ,choice of apple or orange,,,
Islands of Adventure,3 BROOMSTICKS,Courtesy Cup of Water,$0 ,,,,
Islands of Adventure,3 BROOMSTICKS,Spiked Spiced Apple Cider,$18.00 ,"fire whisky, apple whiskey, apple cider, cinnamon, cloves, star anise, and nutmeg",,,
Islands of Adventure,3 BROOMSTICKS,Hog's Head™ Brew,$17.05 ,"Scottish red ale, amber in color, with a splash of citrus",,,
Islands of Adventure,3 BROOMSTICKS,Dragon's Scale,$17.05 ,"unique lager with a light crisp, malty finish",,,
Islands of Adventure,3 BROOMSTICKS,Daisyroot Ale,$17.05 ,refreshing traditional English Mild with a light malty flavor profile and a clean finish,,,
Islands of Adventure,3 BROOMSTICKS,Dark Forest Ale,$17.05 ,traditional brown ale with roasty caramel/toffee notes and warming finish,,,
Islands of Adventure,WIMPYS,Wellington Cheeseburger,$21.49 ,"7 oz. grilled Angus beef patty, Cheddar cheese, tomato, lettuce, pickle, onions, mayo ketchup",,,
Islands of Adventure,WIMPYS,Crispy Garden Vegan Sandwich,$20.49 ,"crispy all vegetable patty, vegan roasted pepper aioli, pickled onions,vegan pepper jack cheese, lettuce, tomato on a Kaiser roll",,,
Islands of Adventure,WIMPYS,Deckhand’s Galley Chicken Tender Stack,$19.99 ,crispy white meat chicken tenders,,,
Islands of Adventure,WIMPYS,Seasoned French Fries,$5.49 ,,,,
Islands of Adventure,WIMPYS,Chips,$4.99 ,,,,
Islands of Adventure,WIMPYS,Dole Whip® Pineapple Sorbet,,cup - 5.49 cone - 5.99,,,
Islands of Adventure,WIMPYS,Vanilla Soft Serve,,cup - 5.49 cone - 5.99,,,
Islands of Adventure,WIMPYS,Jumbo Chocolate Chip Cookie,$5.29 ,,,,
Islands of Adventure,WIMPYS,Fountain Soda,$4.79 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Sprite, Minute Maid Lemonade, Fanta Orange",,,
Islands of Adventure,WIMPYS,Powerade®,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,WIMPYS,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,WIMPYS,Coffee,$4.79 ,,,,
Islands of Adventure,WIMPYS,Miller Lite®,$10.75 ,,,,
Islands of Adventure,WIMPYS,Modelo®,$11.75 ,,,,
Islands of Adventure,WIMPYS,High Noon,$13.00 ,,,,
Islands of Adventure,THUNDER FALLS,Chargrilled Ribs Combo,$28.49 ,"chargrill pork ribs with mango BBQ sauce, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Chicken & Ribs Combo,$25.99 ,"spiced rotisserie chicken, chargrill pork ribs with mango BBQ sauce, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Chargrilled Ribs Platter,$23.99 ,"chargrill pork ribs with mango BBQ sauce, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Chicken & Ribs Platter,$21.49 ,"spiced rotisserie chicken, chargrill pork ribs with mango BBQ sauce, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Pernil Bowl Combo,$24.99 ,"slow roasted pulled pork shoulder, sofrito rice, black beans, salsa Roja, fire roasted corn and poblano peppers, sweet plantains, crispy tortilla strips",,,
Islands of Adventure,THUNDER FALLS,Pernil Bowl,$20.49 ,"slow roasted pulled pork shoulder, sofrito rice, black beans, salsa Roja, fire roasted corn and poblano peppers, sweet plantains, crispy tortilla strips",,,
Islands of Adventure,THUNDER FALLS,Vegan Chorizo Bowl Combo,$24.99 ,"chorizo, fire roasted corn and poblano peppers, black beans, sofrito rice, sweet plantains, salsa Roja, crispy tortilla strips",,,
Islands of Adventure,THUNDER FALLS,Vegan Chorizo Bowl,$20.49 ,"chorizo, fire roasted corn and poblano peppers, black beans, sofrito rice, sweet plantains, salsa Roja, crispy tortilla strips",,,
Islands of Adventure,THUNDER FALLS,Prehistoric Raptor Wings Combo,$23.49 ,"chargrilled jumbo chicken wings, sweet chili glaze, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Prehistoric Raptor Wings Platter,$18.99 ,"chargrilled jumbo chicken wings, sweet chili glaze, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Rotisserie Chicken Combo,$23.49 ,"slow roasted rotisserie spiced chicken, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Rotisserie Chicken Platter,$18.99 ,"slow roasted rotisserie spiced chicken, sofrito rice, fire roasted corn and poblano peppers, black beans",,,
Islands of Adventure,THUNDER FALLS,Rotisserie Chicken Salad Combo,$21.49 ,"warm pulled chicken, field greens, cherry tomatoes, cucumber, fire roasted corn, mandarin oranges, citrus vinaigrette, crispy corn tortilla strips, served with a fountain drink",,,
Islands of Adventure,THUNDER FALLS,Rotisserie Chicken Salad,$16.99 ,"warm pulled chicken, field greens, cherry tomatoes, cucumber, fire roasted corn, mandarin oranges, citrus vinaigrette, crispy corn tortilla strips",,,
Islands of Adventure,THUNDER FALLS,Seasoned French Fries,$5.49 ,,,,
Islands of Adventure,THUNDER FALLS,Roasted Corn and Poblanos Peppers,$5.49 ,,,,
Islands of Adventure,THUNDER FALLS,Black Beans,$5.49 ,,,,
Islands of Adventure,THUNDER FALLS,Sofrito Rice,$5.49 ,,,,
Islands of Adventure,THUNDER FALLS,Watermelon Bowl,$6.29 ,,,,
Islands of Adventure,THUNDER FALLS,Pineapple Bowl,$6.29 ,,,,
Islands of Adventure,THUNDER FALLS,Raptor Tart,$9.99 ,"fresh banana, dulce de leche, chocolate mousse",,,
Islands of Adventure,THUNDER FALLS,Chocolate Chip Cookie,$5.29 ,freshly baked,,,
Islands of Adventure,THUNDER FALLS,Pomegranate Dole Whip,$7.49 ,"frozen pomegranate dole whip, topped with pomegranate seeds",,,
Islands of Adventure,THUNDER FALLS,Chocolate Milkshake,$7.99 ,,,,
Islands of Adventure,THUNDER FALLS,Vanilla Milkshake,$7.99 ,,,,
Islands of Adventure,THUNDER FALLS,Swirled Milkshake,$7.99 ,chocolate and vanilla,,,
Islands of Adventure,THUNDER FALLS,Banana Smash,$7.99 ,"banana ICEE®, vanilla shake, topped with a plantain chip",,,
Islands of Adventure,THUNDER FALLS,Pomegranate Swirl,$7.99 ,"pomegranate dole whip, vanilla shake, topped with pomegranate seeds",,,
Islands of Adventure,THUNDER FALLS,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,
Islands of Adventure,THUNDER FALLS,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,
Islands of Adventure,THUNDER FALLS,Fountain Drinks,$4.79 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Sprite, Fanta Orange, Minute Maid Lemonade, Gold Peak Iced Tea",,,
Islands of Adventure,THUNDER FALLS,T-Rex Sipper,$20.00 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Sprite, Fanta Orange, Minute Maid Lemonade, Gold Peak Iced Tea",,,
Islands of Adventure,THUNDER FALLS,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,THUNDER FALLS,Icee,$6.05 ,"banana, mango, piña colada, strawberry",,,
Islands of Adventure,THUNDER FALLS,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,THUNDER FALLS,Milk,$4.49 ,"2%, chocolate",,,
Islands of Adventure,THUNDER FALLS,Hot Drinks,$4.79 ,"coffee, hot cocoa, hot tea",,,
Islands of Adventure,THUNDER FALLS,Minute Maid Juices,$4.29 ,"apple, orange",,,
Islands of Adventure,THUNDER FALLS,Draft Beer,$13.05 ,"Miller Lite, Isla Nublar IPA, Modelo Especial",,,
Islands of Adventure,THUNDER FALLS,Souvenir Pilsner,$16.05 ,,,,
Islands of Adventure,THUNDER FALLS,Canned Beer,$10.75 ,"Yuengling, Michelob Ultra",,,
Islands of Adventure,THUNDER FALLS,High Noon Pineapple Seltzer,$13.00 ,,,,
Islands of Adventure,THUNDER FALLS,Banana Rum Smash,$17.00 ,"Banana ICEE®, vanilla shake, Myers's® dark rum, topped with a plantain chip",,,
Islands of Adventure,THUNDER FALLS,Pomegranate Rum Swirl,$17.00 ,"pomegranate dole whip, vanilla milkshake, Bacardi® superior rum, topped with pomegranate seeds",,,
Islands of Adventure,BURGER DIGS,Ticos Loaded Beef Burger Combo,$25.99 ,"7 oz premium black angus beef patty, ropa vieja, pepper jack cheese, bacon, brioche bun, served with fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,BURGER DIGS,Ticos Loaded Beef Burger Platter,$21.49 ,"7 oz premium black angus beef patty, ropa vieja, pepper jack cheese, bacon, brioche bun, served with fries",,,
Islands of Adventure,BURGER DIGS,Grilled Chicken Bacon & Avocado Combo,$20.49 ,"sofrito marinated grilled chicken breast, smashed avocado, bacon, pepper jack cheese on a Kaiser roll, served with fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,BURGER DIGS,Grilled Chicken Bacon & Avocado Platter,$15.99 ,"sofrito marinated grilled chicken breast, smashed avocado, bacon, pepper jack cheese on a Kaiser roll, served with fries",,,
Islands of Adventure,BURGER DIGS,Bacon Cheeseburger Combo,$21.49 ,"7oz premium Black Angus beef patty, cheddar cheese and bacon, brioche bun, served with fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,BURGER DIGS,Bacon Cheeseburger Platter,$16.99 ,"7 oz premium Black Angus beef patty, cheddar cheese and bacon, brioche bun, served with fries",,,
Islands of Adventure,BURGER DIGS,Chicken Tender Stack Combo,$19.99 ,"crispy breaded chicken, BBQ sauce, served with fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,BURGER DIGS,Chicken Tender Stack Platter,$15.49 ,"crispy breaded chicken, BBQ sauce, served with fries",,,
Islands of Adventure,BURGER DIGS,Chorizo Chimichanga Combo,$22.99 ,"chorizo, fire roasted corn, poblano peppers, red pepper crema, black beans, sofrito rice, salsa roja, served with fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,BURGER DIGS,Chorizo Chimichanga Platter,$18.49 ,"chorizo, fire roasted corn, poblano peppers, red pepper crema, black beans, sofrito rice, salsa roja, served with fries",,,
Islands of Adventure,BURGER DIGS,Loaded Tropical Fries,$7.49 ,"crispy fries loaded with Tostitos® cheese sauce, black bean & corn salsa, bacon, verde sauce, cilantro, Tajín®",,,
Islands of Adventure,BURGER DIGS,French Fries,$5.49 ,,,,
Islands of Adventure,BURGER DIGS,Cheese Sauce,$1.99 ,,,,
Islands of Adventure,BURGER DIGS,Ranch,$0.99 ,,,,
Islands of Adventure,BURGER DIGS,Milkshakes,$7.99 ,"chocolate, vanilla or swirled",,,
Islands of Adventure,BURGER DIGS,Raptor Tart,$9.99 ,"fresh banana, dulce de leche, chocolate mousse",,,
Islands of Adventure,BURGER DIGS,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,
Islands of Adventure,BURGER DIGS,Extra day of refills for Coca-Cola freestyle® Souvenir Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,
Islands of Adventure,BURGER DIGS,Single Serve Coca-Cola freestyle® cup,$4.79 ,Enjoy more than 100 drink choices with the Coca-Cola freestyle® single-serve cup.,,,
Islands of Adventure,BURGER DIGS,T-Rex Sipper,$20.00 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Fanta Orange, Minute Maid Lemonade, Sprite",,,
Islands of Adventure,BURGER DIGS,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,BURGER DIGS,Minute Maid Juice,$4.29 ,"Apple, Orange",,,
Islands of Adventure,BURGER DIGS,Milk,$4.49 ,"2%, Chocolate",,,
Islands of Adventure,BURGER DIGS,Hot Drinks,$4.79 ,"coffee, hot cocoa, hot tea",,,
Islands of Adventure,BURGER DIGS,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,BURGER DIGS,Draft Beer,,"Michelob Ultra, Miller Lite $11.50Modelo $12.50Isla Nublar IPA $13.50",,,
Islands of Adventure,BURGER DIGS,Souvenir Pilsner,,"Upgrade with a souvenir pilsner:Michelob Ultra, Miller Lite $14.50Modelo $15.50Isla Nublar IPA $16.50",,,
Islands of Adventure,BURGER DIGS,Yuengling Can,$10.75 ,,,,
Islands of Adventure,BURGER DIGS,High Noon Pineapple Seltzer,$13.00 ,,,,
Islands of Adventure,PIZZA PRED,Meat Lovers Pizza Combo,$25.49 ,"sausage, pepperoni, ham, tomato sauce, mozzarella cheese",,,
Islands of Adventure,PIZZA PRED,Meat Lovers Pizza,$14.99 ,,,,
Islands of Adventure,PIZZA PRED,Pepperoni Pizza Combo,$24.49 ,"pepperoni, tomato sauce, mozzarella cheese",,,
Islands of Adventure,PIZZA PRED,Pepperoni Pizza,$13.99 ,,,,
Islands of Adventure,PIZZA PRED,Cheese Pizza Combo,$23.49 ,"tomato sauce, mozzarella cheese",,,
Islands of Adventure,PIZZA PRED,Cheese Pizza,$12.99 ,,,,
Islands of Adventure,PIZZA PRED,Meatball Marinara,$18.99 ,"all beef meatballs, pesto ricotta cheese, marinara sauce, toasted garlic bread cone",,,
Islands of Adventure,PIZZA PRED,Chicken Alfredo,$17.99 ,"creamy penne alfredo with grilled chicken, toasted garlic bread cone",,,
Islands of Adventure,PIZZA PRED,Classic Chicken Caesar Combo,$18.49 ,"roasted chicken breast, romaine lettuce, Caesar dressing, crisp croutons, parmesan cheese, garlic knot, served with a fountain drink",,,
Islands of Adventure,PIZZA PRED,Garlic Knots,$4.99 ,"house-made dough, garlic herb butter, marinara sauce",,,
Islands of Adventure,PIZZA PRED,Strawberry Nutella™ Cookie Sundae,$9.49 ,"warm cookie, Nutella™, strawberry sauce, vanilla ice cream, strawberry crunch topping",,,
Islands of Adventure,PIZZA PRED,Pineapple Bowl,$6.29 ,,,,
Islands of Adventure,PIZZA PRED,Watermelon Bowl,$6.29 ,,,,
Islands of Adventure,PIZZA PRED,Fountain Drinks,$4.79 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Fanta Orange, Minute Maid Lemonade, Barq's Root Beer, Sprite",,,
Islands of Adventure,PIZZA PRED,Icee,$6.05 ,"raspberry, cherry, lemonade",,,
Islands of Adventure,PIZZA PRED,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,PIZZA PRED,Minute Maid Juice,$4.29 ,"apple, orange",,,
Islands of Adventure,PIZZA PRED,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,PIZZA PRED,Coca-Cola Freestyle® Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,
Islands of Adventure,PIZZA PRED,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,
Islands of Adventure,PIZZA PRED,Souvenir T-Rex Sipper,$18.00 ,,,,
Islands of Adventure,PIZZA PRED,Beer,,"Michelob Ultra, Miller Lite, Yuengling $10.75Modelo - $11.75",,,
Islands of Adventure,PIZZA PRED,High Noon Pineapple Seltzer,$13.00 ,,,,
Islands of Adventure,MYTHOS,Braised Chicken Rasta Pasta,$27 ,"slow simmered Jamaican spiced chicken, jerk Alfredo penner pasta, bell peppers, green onion, crispy seasoned plantain ribbons",,,
Islands of Adventure,MYTHOS,Baked Lamb Meatballs*,$18 ,"rosemary infused polenta, Kalamata olives and sweet chili marinara, mint chimichurri",,,
Islands of Adventure,MYTHOS,Semolina Crusted Calamari,$18 ,"tender calamari flash fried and served with smoked paprika aioli, and charred lemon",,,
Islands of Adventure,MYTHOS,Spanakopita Dip,$15 ,"a savory blend of spinach, feta cheese, lemon and fresh herbs, served hot with fresh pita chips seasoned with za'atar spice, with fresh cucumber, tomato and olives",,,
Islands of Adventure,MYTHOS,Mythos Signature Bread Service,$11 ,"our signature wood-fired lavash bread, with red pepper hummus, smoked paprika, sumac oil, kalamata olive tapenade, warm baked feta, roasted tomato sauce",,,
Islands of Adventure,MYTHOS,Lemon Herbed Octopus,$22 ,"charred lemon herbed octopus, Israeli couscous, tomato, olive and caper sauce",,,
Islands of Adventure,MYTHOS,Mediterranean Braised Beef Flatbread,$18 ,"fresh dough flatbread, spiced braised beef tips, halloumi cheese, feta cheese, mozzarella, sumac oil, fresh herb salad, pickled onions and ajvar",,,
Islands of Adventure,MYTHOS,Twin Bone Lamb Chops,$49 ,"chargrilled lamb chops, ratatouille, lemon oregano roasted fingerling potatoes, mint chimichurri, rosemary juspairs with Ferrari Perlé “Reserve”",,,
